country_iso3,country_name,longitude,latitude,wb_region_code,admin_region_code,lending_type,income_level,capital_city,wb_region_name
GEO,Georgia,44.793,41.71,ECS,ECA,IBD,UMC,Tbilisi,Europe & Central Asia
GHA,Ghana,-0.20795,5.57045,SSF,SSA,IDX,LMC,Accra,Sub-Saharan Africa 
GIB,Gibraltar,,,ECS,,LNX,HIC,,Europe & Central Asia
GIN,Guinea,-13.7,9.51667,SSF,SSA,IDX,LIC,Conakry,Sub-Saharan Africa 
GMB,"Gambia, The",-16.5885,13.4495,SSF,SSA,IDX,LIC,Banjul,Sub-Saharan Africa 
GNB,Guinea-Bissau,-15.1804,11.8037,SSF,SSA,IDX,LIC,Bissau,Sub-Saharan Africa 
GNQ,Equatorial Guinea,8.7741,3.7523,SSF,SSA,IBD,UMC,Malabo,Sub-Saharan Africa 
GRC,Greece,23.7166,37.9792,ECS,,LNX,HIC,Athens,Europe & Central Asia
GRD,Grenada,-61.7449,12.0653,LCN,LAC,IDB,UMC,Saint George's,Latin America & Caribbean 
GRL,Greenland,-51.7214,64.1836,ECS,,LNX,HIC,Nuuk,Europe & Central Asia
GTM,Guatemala,-90.5328,14.6248,LCN,LAC,IBD,UMC,Guatemala City,Latin America & Caribbean 
GUM,Guam,144.794,13.4443,EAS,,LNX,HIC,Agana,East Asia & Pacific
GUY,Guyana,-58.1548,6.80461,LCN,LAC,IDX,UMC,Georgetown,Latin America & Caribbean 
HKG,"Hong Kong SAR, China",114.109,22.3964,EAS,,LNX,HIC,,East Asia & Pacific
HND,Honduras,-87.4667,15.1333,LCN,LAC,IDX,LMC,Tegucigalpa,Latin America & Caribbean 
HRV,Croatia,15.9614,45.8069,ECS,,IBD,HIC,Zagreb,Europe & Central Asia
HTI,Haiti,-72.3288,18.5392,LCN,LAC,IDX,LMC,Port-au-Prince,Latin America & Caribbean 
HUN,Hungary,19.0408,47.4984,ECS,,LNX,HIC,Budapest,Europe & Central Asia
IDN,Indonesia,106.83,-6.19752,EAS,EAP,IBD,LMC,Jakarta,East Asia & Pacific
IMN,Isle of Man,-4.47928,54.1509,ECS,,LNX,HIC,Douglas,Europe & Central Asia
IND,India,77.225,28.6353,SAS,SAS,IBD,LMC,New Delhi,South Asia
IRL,Ireland,-6.26749,53.3441,ECS,,LNX,HIC,Dublin,Europe & Central Asia
IRN,"Iran, Islamic Rep.",51.4447,35.6878,MEA,MNA,IBD,LMC,Tehran,Middle East & North Africa
